WEBADDR,INSTNM
https://www.academysalonspa.com/,Academy of Salon and Spa
https://www.asumidsouth.edu/,Arkansas State University Mid-South
https://www.anc.edu/,Arkansas Northeastern College
https://newtylerbarbercollege.edu/,New Tyler Barber College Inc
https://www.northark.edu/,North Arkansas College
https://www.nwti.edu/,Northwest Technical Institute
https://obu.edu/,Ouachita Baptist University
https://www.asutr.edu/,Arkansas State University Three Rivers
https://www.ozarka.edu/,Ozarka College
https://ozarks.edu/,University of the Ozarks
https://www.uaccm.edu/,University of Arkansas Community College-Morrilton
https://www.philander.edu/,Philander Smith University
https://www.pccua.edu/,Phillips Community College of the University of Arkansas
https://www.seark.edu/,Southeast Arkansas College
https://www.pcec.edu/,University of Aesthetics & Cosmetology
https://uaptc.edu/,University of Arkansas-Pulaski Technical College
https://www.uaht.edu/,University of Arkansas Hope-Texarkana
https://www.uarichmountain.edu/,University of Arkansas Community College Rich Mountain
https://paulmitchell.edu/arkansas/,Paul Mitchell the School-Arkansas
https://searcybeautycollege.com/,Searcy Beauty College
https://www.shortercollege.edu/,Shorter College
https://williamsbaptistuniversity.com/,Williams Baptist University
https://www.southark.edu/,South Arkansas College
https://www.saumag.edu/,Southern Arkansas University Main Campus
https://www.sautech.edu/,Southern Arkansas University Tech
https://www.uasys.edu/,University of Arkansas System Office
https://www.velvatexcollege.com/,Velvatex College of Beauty Culture
https://uafs.edu/,University of Arkansas-Fort Smith
https://www.academyart.edu/,Academy of Art University
https://www.acchs.edu/,Academy of Chinese Culture and Health Sciences
https://alameda.edu/,College of Alameda
https://www.hancockcollege.edu/,Allan Hancock College
https://www.aada.edu/,American Academy of Dramatic Arts-Los Angeles
https://www.bst.edu/,Berkeley School of Theology
https://www.afi.com/,American Film Institute Conservatory
https://www.americanbeautycollege.edu/,American Beauty College
https://americancareercollege.edu/,American Career College-Los Angeles
https://www.arc.losrios.edu/,American River College
https://www.avc.edu/,Antelope Valley Community College District
https://www.artcenter.edu/,Art Center College of Design
https://www.atcla.edu/,Associated Technical College-Los Angeles
https://www.atcsd.edu/,Associated Technical College-San Diego
https://www.apu.edu/,Azusa Pacific University
https://www.bakersfieldcollege.edu/,Bakersfield College
https://www.barstow.edu/,Barstow Community College
https://www.bellusacademy.edu/,Bellus Academy-Chula Vista
https://www.buc.edu/,Bethesda University
https://www.biola.edu/,Biola University
https://brownson.edu/,Brownson Technical School
https://bryanuniversity.edu/,Bryan University
https://www.butte.edu/,Butte College
https://www.ciis.edu/,California Institute of Integral Studies
https://www.cabrillo.edu/,Cabrillo College
https://www.calbaptist.edu/,California Baptist University
https://www.cca.edu/,California College of the Arts
https://www.uclawsf.edu/,University of California College of the Law-San Francisco
https://www.caltech.edu/,California Institute of Technology
https://www.callutheran.edu/,California Lutheran University
https://calpoly.edu/,California Polytechnic State University-San Luis Obispo
https://www.alliant.edu/,Alliant International University-San Diego
https://www.csub.edu/,California State University-Bakersfield
https://www.csustan.edu/,California State University-Stanislaus
https://www.calstate.edu/,California State University-Chancellors Office
https://www.csusb.edu/,California State University-San Bernardino
https://www.cpp.edu/,California State Polytechnic University-Pomona
https://www.csuchico.edu/,California State University-Chico
https://www.csudh.edu/,California State University-Dominguez Hills
https://www.fresnostate.edu/,California State University-Fresno
https://www.fullerton.edu/,California State University-Fullerton
https://www.csueastbay.edu/,California State University-East Bay
https://www.csulb.edu/,California State University-Long Beach
https://www.calstatela.edu/,California State University-Los Angeles
https://www.csun.edu/,California State University-Northridge
https://www.csus.edu/,California State University-Sacramento
https://www.berkeley.edu/,University of California-Berkeley
https://ucdavis.edu/,University of California-Davis
https://www.uci.edu/,University of California-Irvine
https://www.ucla.edu/,University of California-Los Angeles
https://www.ucr.edu/,University of California-Riverside
https://www.ucsd.edu/,University of California-San Diego
https://ucsf.edu/,University of California-San Francisco
https://www.ucsb.edu/,University of California-Santa Barbara
https://www.ucsc.edu/,University of California-Santa Cruz
https://www.sofia.edu/,Sofia University
https://www.calbeautycollege.edu/,California Beauty School
https://www.calchristiancollege.edu/,California Christian College
https://www.haven.edu/,Haven University
https://chdaschools.com/,California Hair Design Academy
https://www.calarts.edu/,California Institute of the Arts
https://www.csum.edu/,California State University Maritime Academy
https://www.cwsl.edu/,California Western School of Law
https://canadacollege.edu/,Canada College
https://www.canyons.edu/,College of the Canyons
https://caofb.com/,Career Academy of Beauty
https://www.casalomacollege.edu/,Casa Loma College-Los Angeles
https://www.cetweb.edu/,CET-San Diego
https://cetweb.edu/,CET-San Jose
https://cetweb.edu/,CET-El Centro
https://cetweb.edu/,CET-Colton
https://www.cetweb.edu/,CET-Watsonville
https://cetweb.edu/,CET-Salinas
https://www.cerritos.edu/,Cerritos College
https://cerrocoso.edu/,Cerro Coso Community College
https://www.chabotcollege.edu/,Chabot College
https://www.chaffey.edu/,Chaffey College
https://www.chapman.edu/,Chapman University
https://www.cdrewu.edu/,Charles R Drew University of Medicine and Science
https://www.cui.edu/,Concordia University-Irvine
https://sdcc.edu/,San Diego Christian College
https://www.cdsp.edu/,Church Divinity School of the Pacific
https://www.citruscollege.edu/,Citrus College
https://chbeautycollege.com/,Citrus Heights Beauty College
https://www.ccsf.edu/,City College of San Francisco
https://www.cgu.edu/,Claremont Graduate University
https://www.cmc.edu/,Claremont McKenna College
https://www.milaninstitute.edu/,Milan Institute-Visalia
https://clovisadult.cusd.com/,Clovis Adult Education
https://www.cccd.edu/,Coast Community College District Office
https://www.coastline.edu/,Coastline Community College
https://usv.edu/,University of Silicon Valley
https://www.coba.edu/,Coba Academy
https://www.westernu.edu/,Western University of Health Sciences
https://www.gocolumbia.edu/,Columbia College
https://www.columbiacollege.edu/,California College of ASU
https://www.compton.edu/,Compton College
https://www.4cd.edu/,Contra Costa Community College District Office
https://www.contracosta.edu/,Contra Costa College
https://www.crc.losrios.edu/,Cosumnes River College
https://www.craftonhills.edu/,Crafton Hills College
https://www.cuesta.edu/,Cuesta College
https://www.cuyamaca.edu/,Cuyamaca College
https://www.cypresscollege.edu/,Cypress College
https://www.deanza.edu/,De Anza College
https://btyschool.com/,International School of Beauty Inc
https://www.dellarte.com/school,Dell'Arte International School of Physical Theatre
https://www.collegeofthedesert.edu/,College of the Desert
https://www.disd.edu/,Design Institute of San Diego
https://drbu.edu/,Dharma Realm Buddhist University
https://www.dvc.edu/,Diablo Valley College
https://www.dominican.edu/,Dominican University of California
https://www.dspt.edu/,Dominican School of Philosophy & Theology
https://www.elac.edu/,East Los Angeles College
https://www.elcamino.edu/,El Camino Community College District
https://www.emperors.edu/,Emperor's College of Traditional Oriental Medicine
https://empcol.edu/,Empire College
https://www.evc.edu/,Evergreen Valley College
https://www.fidm.edu/,FIDM-Fashion Institute of Design & Merchandising
https://www.frc.edu/,Feather River Community College District
https://federico.edu/,Federico Beauty Institute
https://www.fielding.edu/,Fielding Graduate University
https://www.fivebranches.edu/,Five Branches University
https://rbbeautycollege.com/,Redondo Beach Beauty College
https://foothill.edu/,Foothill College
https://www.fst.edu/,Franciscan School of Theology
https://www.fandcbeauty.com/,Fredrick and Charles Beauty College
https://www.fresnocitycollege.edu/,Fresno City College
https://www.fresno.edu/,Fresno Pacific University
https://www.fhda.edu/,Foothill-De Anza Community College District
https://www.fuller.edu/,Fuller Theological Seminary
https://www.fullcoll.edu/,Fullerton College
https://www.gavilan.edu/,Gavilan College
https://www.gia.edu/gem-education,Gemological Institute of America-Carlsbad
https://www.glendale.edu/,Glendale Community College
https://www.success.edu/,Glendale Career College
https://www.ggu.edu/,Golden Gate University
https://www.goldenwestcollege.edu/,Golden West College
https://www.gtu.edu/,Graduate Theological Union
https://www.gcccd.edu/,Grossmont-Cuyamaca Community College District
https://www.grossmont.edu/,Grossmont College
https://www.salonsuccessacademy.com/,Salon Success Academy-Riverside
https://www.hartnell.edu/,Hartnell College
https://www.hmc.edu/,Harvey Mudd College
https://www.hilltopbeautyschool.com/,Hilltop Beauty School
https://www.pacifica.edu/,Pacifica Graduate Institute
https://www.humboldt.edu/,California State Polytechnic University-Humboldt
https://www.humphreys.edu/,Humphreys University-Stockton and Modesto Campuses
https://www.imperial.edu/,Imperial Valley College
https://ibt.edu/,Institute for Business and Technology
https://www.idi.edu/,Interior Designers Institute
https://www.toniguy.edu/,International School of Cosmetology
https://www.ivc.edu/,Irvine Valley College
https://www.bellusacademy.edu/,Bellus Academy-El Cajon
https://www.aju.edu/,American Jewish University
https://www.reedleycollege.edu/,Reedley College
https://lifepacific.edu/,Life Pacific University
https://www.laverne.edu/,University of La Verne
https://www.lcad.edu/,Laguna College of Art and Design
https://www.ltcc.edu/,Lake Tahoe Community College
https://www.lancasterbeautyschool.com/,Lancaster Beauty School
https://laney.edu/,Laney College
https://www.lassencollege.edu/,Lassen Community College
https://labi.edu/,Latin American Bible Institute
https://www.lifewest.edu/,Life Chiropractic College West
https://lincolnuca.edu/,Lincoln University
https://www.socalsem.edu/,Southern California Seminary
https://lasierra.edu/,La Sierra University
https://www.llu.edu/index.html,Loma Linda University
https://www.lbcc.edu/,Long Beach City College
https://www.scuhs.edu/,Southern California University of Health Sciences
https://www.laccd.edu/,Los Angeles Community College District Office
https://www.lahc.edu/,Los Angeles Harbor College
https://www.lapc.edu/,Los Angeles Pierce College
https://www.lasc.edu/,Los Angeles Southwest College
https://www.lattc.edu/,Los Angeles Trade Technical College
https://www.lavc.edu/,Los Angeles Valley College
https://www.masters.edu/,The Master's University and Seminary
https://www.lacitycollege.edu/,Los Angeles City College
https://dhs.lacounty.gov/college-of-nursing-and-allied-health/,Los Angeles County College of Nursing and Allied Health
https://www.lamission.edu/,Los Angeles Mission College
https://www.losmedanos.edu/,Los Medanos College
https://www.losrios.edu/,Los Rios Community College District Office
https://www.lmu.edu/,Loyola Marymount University
https://www.lurossacademy.com/,Lu Ross Academy
https://lylescolleges.com/,Lyle's College of Beauty
https://lylescolleges.com/,Lyle's College of  Beauty
https://www.lytlesrebc.edu/,Lytles Redwood Empire Beauty College
https://campus.edu/,MTI College
https://www.marin.edu/,College of Marin
https://www.mendocino.edu/,Mendocino College
https://www.menlo.edu/,Menlo College
https://www.mccd.edu/,Merced College
https://www.merritt.edu/,Merritt College
https://oakland.northeastern.edu/,Northeastern University Oakland
https://www.miracosta.edu/,MiraCosta College
https://www.missioncollege.edu/,Mission College
https://www.modernbeautyacademy.org/,Modern Beauty Academy
https://www.mjc.edu/,Modesto Junior College
https://moler.org/,Moler Barber College
https://www.middlebury.edu/institute/,Middlebury Institute of International Studies at Monterey
https://www.mpc.edu/,Monterey Peninsula College
https://www.moorparkcollege.edu/index.shtml,Moorpark College
https://www.mtsac.edu/,Mt San Antonio College
https://www.msmu.edu/,Mount Saint Mary's University
https://www.msjc.edu/,Mt San Jacinto Community College District
https://www.mi.edu/,Musicians Institute
https://www.napavalley.edu/,Napa Valley College
https://www.nhi.edu/,National Holistic Institute
https://www.nu.edu/,National University
https://www.nps.edu/,Naval Postgraduate School
https://www.newschoolarch.edu/,Newschool of Architecture and Design
https://www.adrians.edu/,North Adrian's College of Beauty Inc
https://www.nocccd.edu/,North Orange County Community College District
https://www.north-westcollege.edu/,North-West College-Pomona
https://www.nw.edu/locations/west-covina-campus/,North-West College-West Covina
https://www.north-westcollege.edu/,North-West College-Van Nuys
https://www.sfbu.edu/,San Francisco Bay University
https://www.ndnu.edu/,Notre Dame de Namur University
https://www.oxy.edu/,Occidental College
https://www.ohlone.edu/,Ohlone College
https://orangecoastcollege.edu/,Orange Coast College
https://www.otis.edu/,Otis College of Art and Design
https://www.oxnardcollege.edu/,Oxnard College
https://www.hiu.edu/,Hope International University
https://www.concorde.edu/campus/san-diego-california,Concorde Career College-San Diego
https://www.paloaltou.edu/,Palo Alto University
https://www.pacificoaks.edu/,Pacific Oaks College
https://www.psr.edu/,Pacific School of Religion
https://www.psuca.edu/,Pacific States University
https://www.puc.edu/,Pacific Union College
https://www.pacific.edu/,University of the Pacific
https://www.paloverde.edu/,Palo Verde College
https://www2.palomar.edu/,Palomar College
https://pasadena.edu/,Pasadena City College
https://www.pepperdine.edu/,Pepperdine University
https://www.peralta.edu/,Peralta Community College System Office
https://www.pitzer.edu/,Pitzer College
https://www.pointloma.edu/,Point Loma Nazarene University
https://www.pomona.edu/,Pomona College
https://www.portervillecollege.edu/,Porterville College
https://www.pib.edu/,Professional Institute of Beauty
https://www.sac.edu/,Santa Ana College
https://www.pardeerand.edu/,Pardee RAND Graduate School
https://www.shastaschoolofcosmetology.com/,Shasta School of Cosmetology
https://www.redlands.edu/,University of Redlands
https://www.redwoods.edu/,College of the Redwoods
https://www.salonsuccessacademy.com/,Salon Success Academy-Upland
https://www.salonsuccessacademy.com/,Salon Success Academy-Corona
https://www.riohondo.edu/,Rio Hondo College
https://www.rcc.edu/,Riverside City College
https://www.dula.edu/,Dongguk University Los Angeles
https://www.scc.losrios.edu/,Sacramento City College
https://www.saddleback.edu/,Saddleback College
https://www.samuelmerritt.edu/,Samuel Merritt University
https://www.sdccd.edu/,San Diego Community College District-District Office
https://www.sdcity.edu/,San Diego City College
https://www.sdmesa.edu/,San Diego Mesa College
https://www.sdmiramar.edu/,San Diego Miramar College
https://www.sdsu.edu/,San Diego State University
https://www.sandiego.edu/,University of San Diego
https://sfcm.edu/,San Francisco Conservatory of Music
https://www.sfsu.edu/,San Francisco State University
https://www.usfca.edu/,University of San Francisco
https://www.sjcl.edu/,San Joaquin College of Law
https://www.deltacollege.edu/,San Joaquin Delta College
https://www.sjvc.edu/,San Joaquin Valley College-Visalia
https://www.sjvc.edu/,San Joaquin Valley College-Bakersfield
https://www.jessup.edu/,William Jessup University
https://www.sjeccd.edu/,San Jose-Evergreen Community College District
https://www.sjcc.edu/,San Jose City College
https://www.sjsu.edu/,San Jose State University
https://www.smccd.edu/,San Mateo County Community College District Office
https://www.collegeofsanmateo.edu/,College of San Mateo
https://www.sbcc.edu/,Santa Barbara City College
https://www.scu.edu/,Santa Clara University
https://www.smc.edu/,Santa Monica College
https://www.santarosa.edu/,Santa Rosa Junior College
https://www.saybrook.edu/,Saybrook University
https://www.scrippscollege.edu/,Scripps College
https://www.cos.edu/,College of the Sequoias
https://www.shasta.edu/,Shasta Bible College and Graduate School
https://www.shastacollege.edu/,Shasta College
https://www.sierracollege.edu/,Sierra College
https://sierrabeautycollege.net/blog3/,Sierra College of Beauty
https://www.tiu.edu/law,Trinity Law School
https://www.simpsonu.edu/,Simpson University
https://www.siskiyous.edu/,College of the Siskiyous
https://www.caj.scusd.edu/,Charles A Jones Career and Education Center
https://skylinecollege.edu/,Skyline College
https://www.valleycollege.edu/,San Bernardino Valley College
https://www.stmarys-ca.edu/,Saint Mary's College of California
https://welcome.solano.edu/,Solano Community College
https://sonoma.edu/,Sonoma State University
https://www.southbaylo.edu/,South Baylo University
https://www.southcoastcollege.edu/,South Coast College
https://www.vanguard.edu/,Vanguard University of Southern California
https://www.concorde.edu/campus/garden-grove-california,Concorde Career College-Garden Grove
https://www.swccd.edu/,Southwestern College
https://www.sksm.edu/,Starr King School for the Ministry
https://www.scccd.edu/,State Center Community College District
https://www.ketchum.edu/,Marshall B Ketchum University
https://www.sciarc.edu/,Southern California Institute of Architecture
https://www.usc.edu/,University of Southern California
https://www.swlaw.edu/,Southwestern Law School
https://www.taftcollege.edu/,Taft College
https://www.cst.edu/,Claremont School of Theology
https://thomasaquinas.edu/,Thomas Aquinas College
https://epic.edu/,Epic Bible College & Graduate School
https://www.ucop.edu/,University of California-System Administration Central Office
https://www.uei.edu/,UEI College-Huntington Park
https://www.concorde.edu/campus/san-bernardino-california,Concorde Career College-San Bernardino
https://www.concorde.edu/campus/north-hollywood-california,Concorde Career College-North Hollywood
https://www.vcccd.edu/,Ventura County Community College System Office
https://www.venturacollege.edu/,Ventura College
https://www.collegesoflaw.edu/,The Colleges of Law at Ventura
https://www.bridgesbeautycollege.com/,Bridges Beauty College
https://www.vvc.edu/,Victor Valley College
https://www.berkeleycitycollege.edu/,Berkeley City College
https://westvalley.edu/,West Valley Mission Community College District Office
https://www.waldenu.edu/,Walden University
https://www.waynescollegeofbeauty.com/,Waynes College of Beauty
https://www.westhillscollege.com/coalinga/,Coalinga College
https://www.wlac.edu/,West Los Angeles College
https://www.westvalley.edu/,West Valley College
https://carrington.edu/,Carrington College-Sacramento
https://www.wscal.edu/,Westminster Theological Seminary in California
https://www.westmont.edu/,Westmont College
https://www.whittier.edu/,Whittier College
https://woodbury.edu/,Woodbury University
https://www.wi.edu/,The Wright Institute
https://www.tjsl.edu/,Thomas Jefferson School of Law
https://www.yoec.edu/,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
https://www.yosemite.edu/,Yosemite Community College District Office
https://yc.yccd.edu/,Yuba College
https://www.adams.edu/,Adams State University
https://www.aims.edu/,Aims Community College
https://www.arapahoe.edu/,Arapahoe Community College
https://www.belrea.edu/,Bel-Rea Institute of Animal Technology
https://www.ucdenver.edu/,University of Colorado Denver/Anschutz Medical Campus
